"id_tour","id_pays","annee","inbound_arrival"
"1514","74","2020","60033000"
"1515","75","2020","68000"
"1516","76","2020","172000"
"1517","78","2020","125000"
"1518","79","2020","45000"
"1519","80","2020","1067000"
"1520","81","2020","14847000"
"1521","82","2020","286000"
"1522","84","2020","10130000"
"1523","86","2020","108000"
"1524","87","2020","640000"
"1525","88","2020","1362000"
"1526","89","2020","1448000"
"1527","91","2020","12000"
"1528","92","2020","7800"
"1529","93","2020","106000"
"1530","94","2020","145000"
"1531","97","2020","271000"
"1532","98","2020","8007000"
"1533","99","2020","2878000"
"1534","100","2020","190000"
"1535","101","2020","2124000"
"1536","102","2020","9963000"
"1537","103","2020","882000"
"1538","105","2020","4818000"
"1539","107","2020","2215000"
"1540","108","2020","31052000"
"1541","109","2020","1147000"
"1542","112","2020","1075000"
"1543","113","2020","1471000"
"1544","114","2020","918000"
"1545","115","2020","3900"
"1546","118","2020","72000"
"1547","119","2020","36000"
"1548","120","2020","60000"
"1549","121","2020","539000"
"1550","122","2020","450000"
"1551","123","2020","87000"
"1552","125","2020","56000"
"1553","126","2020","59400"
"1554","127","2020","650000"
"1555","128","2020","768000"
"1556","129","2020","4202000"
"1557","131","2020","75000"
"1558","132","2020","192000"
"1559","133","2020","7469000"
"1560","134","2020","315000"
"1561","135","2020","42000"
"1562","136","2020","1116000"
"1563","137","2020","5500"
"1564","138","2020","457000"
"1565","139","2020","24000"
"1566","140","2020","422000"
"1567","142","2020","20241000"
"1568","143","2020","17600"
"1569","144","2020","32000"
"1570","145","2020","233000"
"1571","146","2020","165000"
"1572","147","2020","136000"
"1573","148","2020","17700"
"1574","149","2020","2602000"
"1575","150","2020","323000"
"1576","151","2020","194000"
"1577","152","2020","272000"
"1578","154","2020","363000"
"1579","155","2020","6574000"
"1580","156","2020","86000"
"1581","157","2020","1475000"
"1582","158","2020","281000"
"1583","159","2020","35000"
"1584","160","2020","656000"
"1585","161","2020","2200"
"1586","130","2020","147000"
"1587","163","2020","669000"
"1588","164","2020","2880000"
"1589","165","2020","279000"
"1590","166","2020","378000"
