"id_meteo","id_pays","annee","automne_tavg","hiver_tavg","printemps_tavg","ete_tavg","automne_tmax","hiver_tmax","printemps_tmax","ete_tmax","automne_tmin","hiver_tmin","printemps_tmin","ete_tmin"
"176","234","2018","11.4692","4.49667","17.0359","25.862","15.4363","9.37","22.5826","30.387","7.88352","0.201111","12.388","22.0717"
"177","236","2018","17.7824","22.1","16.3141","11.4098","21.9747","27.9678","21.4764","16.6","13.7066","16.9854","12.6864","7.97253"
"178","238","2018","24.0846","26.2178","23.7598","21.7022","28.9359","30.9926","28.6506","26.8654","19.7069","22.1905","19.5206","16.9845"
"179","96","2018","15.5231","9.68111","18.2467","24.8935","20.0604","13.6352","23.5556","30.7663","11.3758","5.60778","13.5","19.8533"
"180","239","2018","26.6945","25.7489","26.5057","26.9433","30.2143","29.224","30.2255","30.7561","23.7813","22.438","23.3111","24.1657"
"181","240","2018","23.3253","18.3867","26.3533","28.7","27.011","20.9721","30.2125","32.4478","20.2484","16.0876","23.1078","25.8043"
"182","243","2018","27.3495","27.4644","27.2217","26.3565","30.1505","30.7386","29.975","29.2099","24.9099","24.864","24.8011","24.0065"
"183","244","2018","20.6891","16.329","19.1391","23.3441","26.6156","22.2522","24.1652","29.3458","16.3188","11.9188","15.4696","19.6"
"185","248","2019","4.94835","-0.342222","8.28791","15.2533","6.99011","1.75778","11.9791","18.338","2.58352","-3.07333","4.04945","11.0989"
"186","1","2019","15.478","7.85667","17.3989","25.2707","22.7022","14.7589","24.0674","33.3022","9.64835","1.44222","11.3109","18.2674"
"187","2","2019","19.3462","14.2356","18.2239","25.8457","23.1703","17.5078","23.3587","32.2391","16.0637","11.1711","15.663","23.4685"
"188","3","2019","27.2418","27.9422","27.5413","26.9326","29.6626","30.4511","30.0022","29.1217","25.1879","25.4633","25.3696","25.2576"
"189","5","2019","26.422","28.0367","26.5859","22.587","30.5","31.76","30.1533","26.6674","23.356","25.3178","23.8793","19.4478"
"190","6","2019","28.0066","25.4822","26.8109","28.7848","31.3692","28.0122","29.2283","31.3033","25.8231","23.6022","24.9717","26.8174"
"191","8","2019","27.4571","24.6422","26.337","28.4011","29.4989","27.3222","28.4587","30.3402","25.7044","22.44","24.5185","26.7511"
"192","9","2019","19.7681","23.2311","16.9663","11.9239","24.9978","27.9044","21.1533","15.8554","15.4637","19.2856","13.8815","8.55109"
"193","11","2019","28.5538","26.6822","27.8239","28.95","31.1835","29.5378","30.6163","31.8793","26.3846","24.9089","26.062","27"
"194","13","2019","10.9242","5.95556","16.1609","23.2554","13.6791","8.57667","20.2022","27.5141","8.4967","3.49667","12.3783","19.362"
"195","14","2019","13.3451","6.39444","16.6554","25.0511","16.6044","8.94778","21.4033","29.5522","9.78462","3.67444","12.2087","20.6489"
"196","15","2019","25.5363","23.2911","25.6804","28.4913","29.4978","27.3989","29.8304","32.4467","22.1","19.6989","22.1098","24.9554"
"197","16","2019","27.4934","19.2356","29.3435","35.3348","30.2901","22.3544","33.6022","39.2522","25.0604","16.7722","26.138","32.3565"
"198","17","2019","25.3418","21.1844","28.7446","29.513","29.778","26.6911","33.1261","32.862","22.0121","16.5722","24.8446","26.9043"
"199","18","2019","28.0791","26.1989","27.4783","28.2348","30.8582","29.1022","30.2522","30.8043","25.544","23.9778","25.4533","25.7435"
"200","19","2019","6.39011","-0.0266667","13.2043","17.463","9.55385","2.08667","19.3163","22.9054","3.33956","-2.77","6.66413","12.1728"
"201","20","2019","9.52308","5.86222","12.6054","18.8293","12.5527","8.94111","17.2674","23.8043","6.94066","3.07556","8.24835","14.2967"
"202","22","2019","27.3407","28.7778","28.4435","25.9696","30.3547","32.1403","31.4732","28.66","24.4447","24.7395","25.2516","24.0128"
"203","23","2019","22.4604","18","21.5011","27.2","24.7846","20.3611","23.8848","29.5728","19.8385","15.0267","18.9815","24.4446"
"204","29","2019","-0.914286","1.01556","0.37191","-2.56897","0.0296703","1.78778","1.37191","-1.18506","-1.9011","0.254444","-0.546067","-4.03793"
